wals code	name	latitude	longitude	genus	family	subfamily	iso codes
pnr	Panare	6.5	-66	Cariban	Cariban		pbh
pnu	Punu	24	107	Hmong-Mien	Hmong-Mien		buh
pny	Panyjima	-22.8333333333	118.416666667	Pama-Nyungan	Australian		pnw
poa	Po-Ai	-20.6666666667	164.833333333	Oceanic	Austronesian	Eastern Malayo-Polynesian	fwa
poc	Pocomam Oriental	14.75	-89.75	Mayan	Mayan		poa
pod	Podoko	11	14.0833333333	Biu-Mandara	Afro-Asiatic	Chadic	pbi
pog	Pogoro	-8.75	36.5	Bantoid	Niger-Congo	Benue-Congo	poy
poh	Pohnpeian	6.88333333333	158.25	Oceanic	Austronesian	Eastern Malayo-Polynesian	pon
pok	Poko-Rawo	-2.83333333333	141.583333333	Serra Hills	Skou		rwa
pol	Polish	52	20	Slavic	Indo-European		pol
pop	Popoloca (Metzontla)	18.1666666667	-97.5	Popolocan	Oto-Manguean		pbe
por	Portuguese	39	-8	Romance	Indo-European		por
pot	Potawatomi	44.5	-85	Algonquian	Algic		pot
pow	Powhatan	37.3333333333	-76.5	Algonquian	Algic		pim
ppc	Piapoco	4	-69.5	Arawakan	Arawakan		pio
ppi	Pitta Pitta	-22.8333333333	140	Pama-Nyungan	Australian		pit
pra	Prasuni	35.5	71	Indic	Indo-European		prn
prc	Parecis	-14	-57	Arawakan	Arawakan		pab
prd	Parji (Dravidian)	19.5	82.5	Central Dravidian	Dravidian		pci
pre	Pare	-4	36.5	Bantoid	Niger-Congo	Benue-Congo	asa
prh	Pirahã	-7	-62	Mura	Mura		myp
pri	Príncipense	1.61666666667	7.36666666667	Creoles and Pidgins	other		pre
prk	Purki	34.6666666667	76	Bodic	Sino-Tibetan	Tibeto-Burman	prx
pro	Provençal	44	6	Romance	Indo-European		prv
prs	Persian	32	54	Iranian	Indo-European		pes
prt	Piratapuyo	0.333333333333	-69.5	Tucanoan	Tucanoan		pir
psh	Pashto	33	67	Iranian	Indo-European		pst
psj	Popoloca (San Juan Atzingo)	18.1666666667	-96.4166666667	Popolocan	Oto-Manguean		poe
psl	Plains-Indians Sign Language	40	-100	Sign Languages	other		psd
psm	Passamaquoddy-Maliseet	45	-67	Algonquian	Algic		pqm
pso	Pomo (Southeastern)	39	-122.5	Pomoan	Hokan		pom
psv	Popoloca (San Vicente Coyotepec)	18.25	-97.8333333333	Popolocan	Oto-Manguean		pbf
pta	Paita	-22.0833333333	166.5	Oceanic	Austronesian	Eastern Malayo-Polynesian	duf
pte	Paite	24	93.1666666667	Kuki-Chin-Naga	Sino-Tibetan	Tibeto-Burman	pck
ptp	Patpatar	-3.76666666667	152.5	Oceanic	Austronesian	Eastern Malayo-Polynesian	gfk
ptt	Pattani	32.75	76.75	Bodic	Sino-Tibetan	Tibeto-Burman	lae
ptw	Patwin	39	-122.333333333	Wintuan	Penutian		wit
pui	Puinave	4	-68	Puinave	Puinave		pui
